"","title","artist","top_peak","streak","entries","avgpos","sdpos","artist_clean","danceability","energy","song_key","loudness","song_mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature","len","cat"
"2274","Off White VLONE","Lil Baby & Gunna Featuring Lil Durk & NAV",54,1,7,54,0,"Lil Baby",0.859,0.506,10,-8.115,"0",-0.872273846457381,-2.25379492882461,0,-2.1803674602698,0.153,140.973,187465,"4",8,"short"
"2275","Offended","Meek Mill Featuring Young Thug & 21 Savage",70,1,7,70,0,"Meek Mill",0.92,0.53,4,-7.399,"0",-1.07587280169862,-1.67664666212755,0,-2.2730262907525,0.363,123.968,255483,"4",9,"short"
"2276","Oh My God","Adele",5,16,7,36.875,19.5324285680446,"Adele",0.534,0.725,1,-3.906,"1",-3.07911388249304,-2.39689577246529,0,-3.63439126882987,0.55,88.098,225149,"4",5,"long"
"2277","Oh Santa!","Mariah Carey Featuring Ariana Grande & Jennifer Hudson",76,1,7,76,0,"Mariah Carey",0.648,0.938,1,-3.298,"1",-2.16282315061889,-3.38434026459573,1.28e-06,-2.87528612047812,0.849,78.496,200467,"4",12,"short"
"2278","Ojitos Lindos","Bad Bunny & Bomba Estereo",26,2,7,34.3636363636364,11.6040745195188,"Bad Bunny",0.647,0.686,3,-5.745,"0",-3.18689277901515,-2.52572864430826,1.34e-06,-0.638658995275876,0.268,79.928,258299,"4",9,"medium"
"2279","OK Not To Be OK","Marshmello & Demi Lovato",36,6,7,69.3333333333333,15.632465696103,"Marshmello",0.743,0.837,1,-5.025,"0",-2.73490765527209,-4.06284589516273,0,-2.59964432725842,0.263,103.072,159863,"4",10,"medium"
"2280","Ok Ok","Kanye West",12,2,7,38.5,27.5003496481269,"Kanye West",0.738,0.471,11,-9.208,"0",-0.911303190363116,-1.14256417619729,1.28e-06,-2.04022082852655,0.283,107.98,204630,"5",10,"medium"
"2281","Okay","Lil Baby & Lil Durk",58,1,7,58,0,"Lil Baby",0.89,0.674,11,-5.45,"0",-1.14570389620196,-2.23492644452023,0,-2.1982250776698,0.248,134.028,216548,"4",8,"short"
"2282","OKRA","Tyler, The Creator",89,1,7,89,0,"Tyler",0.589,0.57,1,-9.54,"1",-1.01887732064926,-3.0878475624618,1.51e-06,-1.98777435315401,0.441,136.203,151027,"4",5,"short"
"2283","Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",1,45,7,13.7555555555556,17.3546904192228,"Lil Nas X",0.878,0.619,6,-5.56,"1",-2.28278246569787,-2.93181894781034,0,-2.1803674602698,0.639,136.041,157067,"4",9,"long"
"2284","OMDB","Rod Wave",89,1,7,89,0,"Rod Wave",0.628,0.522,1,-9.325,"1",-3.05336138639063,-1.69826912614072,0,-2.10373423424888,0.191,82.928,185074,"4",8,"short"
"2285","Omerta","Drake",35,2,7,67,33.2079693864173,"Drake",0.646,0.899,6,-2.232,"1",-1.21066179247673,-3.39025744162382,0,-1.46101790731583,0.685,164.119,219507,"4",5,"medium"
"2286","OMG","Camila Cabello Featuring Quavo",81,1,7,81,0,"Camila Cabello",0.655,0.576,5,-6.735,"0",-2.92620621090538,-3.52336501563636,0.115,-2.02495335639577,0.167,139.953,228893,"4",14,"short"
"2287","ON","BTS",4,2,7,36,33.2079693864173,"BTS",0.566,0.716,1,-5.733,"1",-3.16060691674423,-4.97478564120256,0,-0.994252273343867,0.45,81.068,207481,"4",3,"medium"
"2288","On Chill","Wale Featuring Jeremih",22,23,7,38.9565217391304,14.9738721720899,"Wale",0.597,0.733,1,-6.017,"1",-0.891598119283784,-2.00991547903123,0,-1.83885107676191,0.639,171.016,214035,"4",4,"long"
"2289","On Everything","DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",88,1,7,88,0,"DJ Khaled",0.542,0.755,1,-3.68,"1",-2.79034544382904,-3.76360300030987,0,-1.49165487677772,0.267,168.22,233293,"4",9,"short"
"2290","On God","Kanye West",23,2,7,59.5,37.8778400813823,"Kanye West",0.41,0.886,9,-4.413,"0",-1.86433016206289,-2.7015712350045,0,-0.774357235985488,0.393,72.577,136351,"4",10,"medium"
"2291","On Me","Lil Baby",15,26,7,33.3461538461538,11.3651576464998,"Lil Baby",0.856,0.564,6,-6.295,"0",-0.936493439191674,-5.72296529407298,0,-2.00991547903123,0.483,77.972,135960,"4",8,"long"
"2292","On Me","Meek Mill Featuring Cardi B",30,2,7,56,26.9814751264641,"Meek Mill",0.442,0.737,7,-5.046,"1",-2.21640739675299,-2.8319141883246,0,-2.28278246569787,0.21,112.93,218320,"5",9,"medium"
"2293","On My Mind","Ellie Goulding",13,22,0,27.4615384615385,11.2556609688705,"Ellie Goulding",0.702,0.705,0,-6.666,"1",-2.91323105204225,-1.35479569406052,5.93e-06,-2.43155547429101,0.743,154.911,213445,"4",14,"long"
"2294","On My Side","YoungBoy Never Broke Again",37,2,7,54,17.6417337365342,"YoungBoy Never Broke Again",0.606,0.671,10,-7.529,"0",-1.04412410338404,-0.879476758751439,0,-1.73727128394399,0.642,168.201,148571,"4",26,"medium"
"2295","On My Soul","Meek Mill",69,1,7,69,0,"Meek Mill",0.571,0.525,6,-7.785,"0",-1.0700248318162,-1.82635091399767,0,-1.80788885115794,0.306,119.205,141573,"5",9,"short"
"2296","On My Way To You","Cody Johnson",78,16,7,91.4375,6.34273543455762,"Cody Johnson",0.443,0.538,1,-5.477,"1",-3.47699909507844,-1.11779510808488,4.61e-05,-2.44645546341375,0.245,157.97,213307,"4",12,"long"
"2297","On The Regular","Meek Mill",75,1,7,75,0,"Meek Mill",0.781,0.764,2,-3.252,"1",-1.80788885115794,-4.04555439805267,0,-2.28278246569787,0.352,146.03,184110,"4",9,"short"
